"rowName"	"T1"	"T2"	"T3"	"T4"	"T5"	"T6"	"T7"	"T8"	"T9"	"T10"
"Intercept"	-3.70776127144822	-3.67843624437111	-3.74125099831138	-3.75090258016677	-3.63937028921354	-3.77465354111059	-3.70712520963013	-3.65324013784859	-3.83913366139178	-3.83149900222675
"Seed_kind-V1"	0.449038980264583	0.44398482190264	0.448699749192917	0.434524062685248	0.452262139342086	0.4433950307359	0.467694603901032	0.458001460491309	0.456796014365578	0.421183020678767
"region12_17-V2"	0.345403021605731	0.378921155574404	0.32527323867777	0.454604057797741	0.338498515671249	0.426098588972757	0.368754172497523	0.407420650491763	0.377504979399108	0.428024164427719
"SiteAcc-V3"	1.53759084495392	1.34240689212481	1.37726588328916	1.23618108568422	1.26612087602475	1.34326353260966	1.55674504745700	1.28461653693368	1.34043361883469	1.59567643116392
"SeedAcc-V4"	-0.609616981043614	-0.547894573297562	-0.635227632924718	-0.487214208252705	-0.632874291191871	-0.558852709981574	-0.679989181126633	-0.648101290035603	-0.47011258956009	-0.615739441708831
"UpAU_20nt-V5"	2.07609519847135	2.07508890906755	1.99549956530861	2.01064118680798	1.90917492437295	2.08214330944725	1.95436779698104	2.09083531950987	2.11534209391999	2.0584025051993
"UpsAcc_30nt-V6"	0.241558389353700	0.293189609382831	0.525242667392705	0.331722063267607	0.530716597989317	0.412833429166688	0.458327903647503	0.336880069340813	0.351762363219317	0.364401212781022
"DwsAcc_30nt-V7"	0.00193300562509341	-0.0183635535731177	-0.0168513427707196	0.132575958228472	-0.081641743603986	0.112935820022216	-0.082508478476266	-0.191308110937789	-0.00134334267894474	0.0124612391057913
"DwAU_30nt-V8"	2.59657630872741	2.58273919741006	2.68047790418164	2.59650237583668	2.64179667714813	2.51502910059026	2.56897070352330	2.61562655648924	2.71046012209518	2.64363250959527
"Gtotal-V9"	-0.0355872529550419	-0.0387838592062997	-0.0385409687776454	-0.0373931102339798	-0.0388016059303415	-0.0388462074934823	-0.0377700417960861	-0.0389872959752681	-0.0376507298952405	-0.0371490505800611
"Gnucl-V10"	-0.0148650026128749	-0.0117670748208417	-0.021647882993201	-0.00804466914609106	-0.0251390904691196	-0.00793707709560486	-0.0145519463943604	-0.0230803393272748	-0.0173541481965030	-0.0148005472526136
"Intercept"	-8.78360735678828	-8.9757440859206	-9.32892466385614	-8.56974627050842	-8.61494385806122	-8.73323257658067	-8.85201924138752	-9.08193303059797	-8.61953466940953	-8.82048946965275
"Seed_kind-V1"	0.885641334714872	0.85353968109318	0.922336973600557	0.592174111445545	0.800638454083969	0.902847287924762	0.796822763063984	0.809955710442724	0.810045489040867	0.747192332840176
"region12_17-V2"	1.45415298618073	1.91271295688733	2.06939961543827	1.12241622327321	1.16280097123552	1.30043693452385	1.27386777999189	1.45870811652421	1.692227697417	1.36266314651312
"SiteAcc-V3"	6.85738657965859	7.50614401179481	8.24626248318505	7.73621078932123	7.43699934100601	6.34918095671277	7.73644653605992	6.91860084796364	7.90050508587208	7.22495956421302
"SeedAcc-V4"	-1.75512108186847	-2.23484238087578	-1.96534808583365	-2.20615376497140	-1.5950287657049	-2.11898181048621	-2.38355279025238	-2.29169984028067	-2.3117074464101	-2.25795804846412
"UpAU_20nt-V5"	6.95577018962688	6.44005887999782	6.21078723757666	6.7251736822304	7.64790037834328	6.82997148348335	8.29082169431703	6.42369138400623	6.69450779112662	7.09100109741841
"UpsAcc_30nt-V6"	1.52952913305211	0.535099330043944	0.435851545533435	1.48168492465023	0.675676077586856	1.62121782831826	0.683975767927678	1.13854598181017	-0.0198558499155	1.14472077327337
"DwsAcc_30nt-V7"	1.67745778130759	2.27389729270626	2.58888401306571	2.16790188838866	1.32093464050717	2.45706271068722	1.60482618864138	2.29307541145646	2.21048216759768	1.88375393786314
"DwAU_30nt-V8"	10.8042641791777	11.3069335740121	11.6447508260670	10.6639604382350	10.8752720782957	10.7383375073837	10.5270352685115	12.8078392846133	10.1504433222836	11.0600820355334
"Gtotal-V9"	0.0983009400724213	0.108852483493589	0.126669603820106	0.0944382090297873	0.104970930223433	0.106792623165357	0.111239220561879	0.117838993727156	0.125867224345176	0.119377312372083
"Gnucl-V10"	0.186340667835285	0.112376372541501	0.122051878744494	0.231947138644473	0.244552513995022	0.176425325007095	0.150463435303053	0.130377971963492	0.143163492990446	0.134982537593034
"V1*V2"	-0.0165400788340291	-0.134534612732173	-0.209685116088401	-0.0266501707953780	-0.0216062030019964	-0.144725609710314	-0.0766194685956753	-0.0250297882772519	-0.082069822076702	0.0402333144869900
"V1*V3"	-0.395733884360119	-0.143949680032003	-0.101661827367745	0.193687570287330	-0.313176333302908	-0.254257190133104	-0.0152171090704239	0.138952770574881	-0.177264918428378	-0.236939415903393
"V2*V3"	-0.716346584611379	-2.0905878797612	-1.69713120307491	-1.04613305840556	-0.572756290855324	-0.315045967975353	-0.605249379660919	-0.81018904646575	-1.97849671338776	-0.908469984281024
"V1*V4"	-0.0421134962825608	0.116364453076261	-0.154798893778085	-0.00841236934946904	0.168106865376748	-0.065507559621942	0.0945324330659823	-0.078825129320429	0.109760802303054	0.106080833671726
"V2*V4"	-0.439965069379339	-0.305632577411824	-0.401113570359438	0.0684480914662176	-0.176505525767289	-0.632379984218665	-0.353214167568443	-0.305963748760775	-0.210827566946129	0.0758611952345229
"V3*V4"	1.28490051087275	2.26851798265709	1.99198684894925	1.70759270053531	1.46566526025268	2.67002278078343	1.80957223284808	3.39466624412814	2.00346424423799	2.23501293701083
