"rowName"	"T1"	"T2"	"T3"	"T4"	"T5"	"T6"	"T7"	"T8"	"T9"	"T10"
"Intercept"	-1.20419138201580	-1.21118042535541	-1.23655723821585	-1.10966621967062	-1.28482196252275	-1.16731544529816	-1.16494772877933	-1.27302660922597	-1.18151147847935	-1.15689845165784
"dG_hybrid-V1"	-0.0264315316795683	-0.0262056976138609	-0.0263490344470967	-0.0259598135529612	-0.0263966793774428	-0.0264274044160802	-0.0266953324236544	-0.0255033190989890	-0.0258317548724117	-0.025764983016266
"X3._bp-V2"	-0.308748557310602	-0.302303016989786	-0.266186908490736	-0.39377326856606	-0.226051701252454	-0.348210671253490	-0.342773464703952	-0.229696847052676	-0.32846293635944	-0.335900977613372
"Site_Access-V3"	0.468748757335888	0.465418641996414	0.442491641813971	0.459323639445376	0.449347484500381	0.465696896060375	0.433095321092366	0.459040993385104	0.479076416059991	0.439361443237249
"Upstream_Access.10nt.-V4"	0.227820431665196	0.233847372131473	0.239957431682792	0.231157908026896	0.244575663768892	0.237810081726336	0.237143258348683	0.235467405350081	0.228496192558691	0.236393569116335
"Dwstream_Access.10nt.-V5"	0.104036086269290	0.093838235576661	0.0898300944735182	0.094737471006246	0.0961051476885476	0.0914550223183435	0.0921857115806637	0.107147551474197	0.0984785145077004	0.0885176178051796
"dG_nucl-V6"	-0.000485987326708482	-0.00148052588931891	-0.00170393997583302	-0.00124405484410462	-0.00172047039056303	-0.000576989861527511	-0.00231710846907047	-0.00169464330779093	-0.000890887998400274	-0.00206101571176242
"Site_Consv-V7"	1.45027971992583	1.46365469017123	1.45670216151661	1.45621669837509	1.45277059143981	1.46198069287768	1.46176428173063	1.4525917907207	1.45612125972575	1.46015449727228
"Intercept"	-4.93371593088156	-4.28473937866725	-4.08943655085256	-4.71706724888741	-3.67658607651699	-4.12352617204046	-4.95558374470149	-5.72859448529668	-5.52845802781943	-4.34460072272709
"dG_hybrid-V1"	-0.084009543429954	-0.0927581694536213	-0.0820227576335199	-0.098535782329122	-0.046424049864034	-0.0774064035315625	-0.105790951371545	-0.123438114105652	-0.137236599320189	-0.0535466426864713
"X3._bp-V2"	3.08546698635479	2.30711401125931	2.14769956164443	2.76573830755818	1.77175425382920	2.06121583590113	2.93319230545901	3.83434808004861	3.64726034258454	2.46396287525319
"Site_Access-V3"	3.75466425676492	2.23097936098486	1.28455989111607	2.92077816118692	2.64961961304133	1.95110569476051	2.49980635728747	3.17799585908981	3.48387370883502	3.19311521831848
"Upstream_Access.10nt.-V4"	2.17315137580508	1.79013590339643	2.58364804779526	2.35661224052063	1.65633762018162	2.10911080277038	1.69186003964956	1.69302448655294	1.33805180093522	1.64233703250722
"Dwstream_Access.10nt.-V5"	1.7971435118715	1.43715053907773	1.43992166374597	1.53294048405659	1.0436993882791	1.69055197616884	2.28422625775541	1.74995925056387	1.74948793317226	1.91226776443659
"dG_nucl-V6"	0.198074809563673	0.112539423493774	0.0731007322127394	0.189675542766919	0.055959114851237	0.072276715581499	0.097117705299441	0.0279920635351542	0.140763408893548	0.0864987290895381
"Site_Consv-V7"	1.63737233530683	2.16018031321542	1.80133658165539	2.03741538564186	1.95160806851446	2.02747528667826	2.09612033467331	2.11732793848428	2.13120054957697	1.99103632462251
"V1*V2"	0.102019252707508	0.107067132663776	0.0971307060557088	0.112740577553343	0.0633436425466877	0.0886066638322962	0.117291861492776	0.141931690012207	0.155400320844992	0.0713764261431324
"V1*V3"	-0.0402554841189319	-0.0356051022029998	-0.0369131137695134	-0.0413116061872896	-0.040474636101524	-0.0328330507977632	-0.037025739991382	-0.047076326891002	-0.0387829848170187	-0.0411725618944383
"V2*V3"	-2.48530541363114	-0.773737733321803	0.102623110288439	-1.60619678444758	-1.33905589963935	-0.397774691636372	-1.07394039475909	-1.89382500637328	-2.13563882694178	-1.93813315563163
"V1*V4"	-0.0140500791835616	-0.0131231551090838	-0.0116296032386683	-0.0117582075619000	-0.0123386473159881	-0.0123055532938499	-0.0107765294393404	-0.0108926670793816	-0.0133041929293027	-0.0130308141135710
"V2*V4"	-0.89859959880907	-0.442002072825571	-1.26019140532339	-1.04367917273291	-0.306136822498392	-0.680031196907638	-0.292070854056987	-0.338881624572199	-0.0187588601423057	-0.288060451463214
"V3*V4"	-1.40014200667961	-1.43425153942130	-1.39393688093405	-1.37559542030610	-1.39547461660512	-1.55056890961367	-1.37894859362673	-1.42355740828107	-1.46450902545928	-1.40234594680807
"V1*V5"	-0.0339021591626271	-0.0295684613720130	-0.0326810318104857	-0.0288729250828916	-0.0359463349505042	-0.0306837854490075	-0.0274203289773598	-0.0291654233718294	-0.0333755575531980	-0.0349552422224346
"V2*V5"	-1.33419091565190	-0.849897952071035	-0.92803557113992	-0.942676260681648	-0.581993511721316	-1.08270806050779	-1.65446107465294	-1.14305553853220	-1.26668256516705	-1.45690031998106
"V3*V5"	-0.72918288957779	-0.820876386511516	-0.722115270141802	-0.7780561934839	-0.754751065402712	-0.817720418717563	-0.864110920222343	-0.825389029411115	-0.732901912809916	-0.731458812356957
"V4*V5"	-0.822524101614043	-0.88254662590126	-0.849577106158988	-0.841396707783932	-0.86281177935431	-0.924128099508375	-0.90016220063722	-0.890532082487958	-0.805762666451784	-0.862890163522341
"V1*V6"	0.000841367027977456	0.000970531303849	0.000891030082320708	0.000385276619338468	0.000457501632004131	0.00088591997187015	0.00107255803376552	0.000464129328531806	0.00104532478509958	0.000435779860709073
