MIT seeds: G/B GU count, name	Pos_gene	Neg_gene	Pos_site	Neg_site	Pos_site_enrichment	Odds_ratio
8mer     1 GU	381	12832	710	90021	 1.6296	 1.6310
7mer-m8  1 GU	745	15691	1712	249493	 1.4177	 1.4201
7mer-A1  1 GU	823	15944	1596	269139	 1.2252	 1.2264
6mer     1 GU	1633	17294	4681	821347	 1.1775	 1.1803
offset-6mer  1 GU	2136	17575	8506	1256995	 1.3981	 1.4096
8mer     2 GU	234	12185	396	74516	 1.0980	 1.0981
7mer-m8  2 GU	619	15469	1318	234481	 1.1613	 1.1621
7mer-A1  2 GU	788	15960	1797	308890	 1.2020	 1.2032
6mer     2 GU	1670	17290	5974	1002494	 1.2312	 1.2359
off6mer  2 GU	2084	17562	8914	1308134	 1.4079	 1.4203
8mer     3 GU	110	8783	157	29438	 1.1019	 1.1020
7mer-m8  3 GU	315	13198	530	103025	 1.0629	 1.0630
7mer-A1  3 GU	500	14474	1204	212865	 1.1686	 1.1693
6mer     3 GU	1122	16604	4226	731644	 1.1934	 1.1961
offset-6mer  3 GU	1580	17141	5218	843227	 1.2785	 1.2834
8mer     4 GU	34	3144	50	4601	 2.2453	 2.2455
7mer-m8  4 GU	66	7400	79	16957	 0.9626	 0.9626
7mer-A1  4 GU	179	10264	373	61744	 1.2482	 1.2485
6mer     4 GU	411	14152	1347	225426	 1.2346	 1.2356
offset-6mer  4 GU	670	15666	1631	251802	 1.3383	 1.3401
8mer     5 GU	1	205	1	210	 0.9839	 0.9839
7mer-m8  5 GU	5	577	5	598	 1.7275	 1.7275
7mer-A1  5 GU	48	4488	48	6513	 1.5227	 1.5228
6mer     5 GU	95	7964	98	16810	 1.2045	 1.2046
offset-6mer  5 GU	98	9846	116	28804	 0.8321	 0.8320
offset-6mer  6 GU	10	2654	10	3353	 0.6162	 0.6162
other    ? GU	3014	18108	252354	54461208	 0.9574	 0.7451
Total Sites in Pos/Neg Sets	303051	62613735
